split;label;text
train;0;2 es sei denn es kommt zu komplikationen  das passiert dann amp  dann erklären sie mal wieso die akuten atemwegserkrankungen abnehmen aber covid nicht
val;0;2 es sind jetzt nur noch wenige wochen bis impfeffekt die 3 welle bricht das schaffen wir auch noch aber nur gemeinsam ziel ist ist jetzt impfen so schnell wie geht und wenige infektionen für die noch ungeimpften das könnten bald besonders viele schüler und eltern sein
train;0;2 im herbst wird die lage aber eine andere sein dann wird der maskenschutz wegfallen und wir werden wieder viel drinnen sein dann werden wahrscheinlich die ungeimpften ein sehr hohes risiko tragen
test;0;2 intensivauslastung war so stark dass 70 der ecmo pat künstliche lunge gestorben sind unter optimalen personal  bedingungen werden sterblichkeiten unter 50 erreicht top kliniken haben am absoluten limit gearbeitet der betrug kam von kliniken die kaum covid versorgten
train;1;2 israel steht an letzter stelle weil covid bereits die korruption in unserem gesundheitssystem und politischen system aufgedeckt hat und israel wird die wurzel aller korruption und des bösen in religiösen systemen aufdecken
train;1;"2 israels regierung ist eine koalition aus rechtsextremen organisationen 
gt  hatzionut hadatit und andere religiöszionistische parteien sind homophob sexistisch und sind für jüdische vorherrschaft und apartheid"
train;1;2 ja auch die drei großen buchreligionen ihren dreck ungefiltert und unter dem vorwand der religionsfreiheit ins internet pusten antisemitismus homo und transphobie usw   das alles ist viel schlimmer als wenn oma erna für irgend jemanden die karten legt oder so
train;1;2 klassengesellschaft du meinst also die menschen die sich impfen wollen um endlich diese pandemie zu beenden oder die menschen die sich und andere nicht schützen wollen und noch länger im lockdown leben wollen querdenker sind terroristen der gesellschaft
val;0;"2 mir ist der querdenkerduktus bekannt nichts womit ich mich identifizieren kann aber nur weil hier ein wort benutzt worden ist das auch querdenker benutzen ist man noch lange kein solcher nicht ohne weiteres 

so etwas sind keine belege so etwas sind konstruktionen"
train;0;"2 mit wka füllen 

715162 qkm windkraftanlagen wären das dann in deutschland bei einer fläche von 357 581 qkm siedlungen nicht abgezogen

 

baerbock"
train;0;"2 noch schlimmere von der afd
hitler und die nazis sind nur ein vogelschiss in über 1000 jahren erfolgreicher deutscher geschichte

wir deutschen also unser volk sind das einzige volk der welt das sich ein denkmal der schande in das herz seiner hauptstadt gepflanzt hat"
train;0;2 sollte ich das wissen  bei einer zahl von 036 betroffener bei der tatsache das corona viren bei jeder influenza welle mit kommen  das sie erst gefährlich werden wenn sie in die blutbahn eindringen was sie ehr selten tun  die medizinische katastrophe kommt noch
train;0;2 südafrika variante und indien variante entkommen antikörpern nach impfung und auch die zelluläre antwort scheint schwächer daher breiten sich diese varianten bei teilgeimpfter bevölkerung auch gegen b117 schnell aus 10fache zunahme b1617 in einem monat heisst für uns
train;0;"2 tage hintereinander in der twagesschau 

und das ohne korruption so geht das cdu"
train;0;2 trotzdem steht uk vor problem wenn 50 erstimpfung haben sinkt rwert schon um ca 13 da der rwert dieser mutante klar über 4 liegt ohne schutzmassnahmen ist aber nach öffnung mit steigender fallzahl zu rechnen möglich wäre für b16172 auch ein viel höherer rwert
train;0;2 viele länder europas haben doppelt so viele menschen verloren auch die usa liegen viel höher viele asiatische länder haben weniger opfer aber dort konnten die grenzen geschlossen werden insgesamt ist bilanz von deutschland positiv auch wenn jedes opfer eines zu viel ist
train;0;2 wenn es stimmt ich bin es dass man ohne hilfe der patenthalter mrna nicht produzieren kann schadet der biden waiver ihnen langfristig nicht vektor und proteinimpfstoffe gehen leichter da helfen die patentfreigaben will man die verhindern muss euus impfstoffe liefern
train;0;2 wenn wir kipppunkte des klimawandels überschreiten sind die damit verbundenen schäden für das klima über jahrhunderte nicht reversibel daher kann man nicht warten bis bisher nicht bekannte technologie das problem später für uns löst auf uns kommt es an was lehrt corona
train;0;2 zeitraum auch wieder teil des infektionsgeschehens sein können man kann daher doch nicht einfach pauschal sagen du bist geimpft also bist du nicht mehr ansteckend und brauchst zb nicht mehr in quarantäne das ist ohne sterile immunität doch sehr optimistisch
val;0;2 zwischenzeitlich sind familien zerstritten wie damals wird  d misstrauen i d familien getragen kritiker d maßnahmen werden v verfassungsschutz beäugt an was erinnert euch das die herren v deutschland wieler  spahn söder  drosten dürfen nicht ü unsere grundrechte bestimmen
train;0;"20 april 1889

hitler geburtstag ehm reichskanzler 

20  april 2021

cdu gibt kanzlerkandidaten bekannt wie dumm und uninformiert kann eine partei nich sein ihr dummen dummen menschen

cdu csu laschet soeder"
train;1;"20 gibt es für die coronaimpfung und nun
ich weiß für geistige und soziale minderleister mag das nach viel geld klingen"
train;0;20 jahre tödliche impfverdachtsfälle im vaers
train;0;"2004 80353
2704 82009 338 1656 
2804 82325 316 1927 
2904 82588 268 2195 
3004 82862 277 2472 
0105 83097 232 2704 
einkerzen 
nocovid zerocovid
 wirwollenreden maydaymayday
ich werde euch das nie vergessen"
train;0;"2030 b0105 r1mb 

die bullen rocken in die demo und schubsen leute rum und drängt den block zurück"
train;1;210m  so ist das halt wenn man seine geschichtskenntnisse aus malbüchern für nazikinder hat  aber wie kommt der übergewichtige abgebrochene gartenzwerg auf die idee die nachfahren solcher heldenriesen wären auf die hilfe einer 150m großen luftpumpe angewiesen
train;0;22 an einigen tagen werde ich vor allem wegen coronapandemie arbeiten währen der reha bin ich offline  ab und zu werden in dieser zeit auf meinem account menschen aus ihrem alltag berichten bleiben sie gesund und passen sie auf sich auf
train;0;22 claudia roth hat sich mit dem iranischen holocaustleugner  ali landschani getroffen  jürgen trittin hat die antisemitische bds bewegung verteidigt fridays for future ist von der antisemitischen bds unterwandert darüber müssen wir uns ernsthaft sorgen machen
train;0;22 die politisch diverse koalition sendet ein signal der hoffnung auf stabilität und langfristigen frieden in der region wir sollten die chance nutzen um die deutschisraelische freundschaft zu stärken und den austausch zu intensivieren
train;0;22 es besteht aber kein zusammenhang zwischen der informationsweitergabe und der flucht weil sich der beschuldigte nach unseren erkenntnissen bereits geraume zeit vor erlass des haftbefehls ins ausland abgesetzt hatte
train;1;22 querdenker demos generell verbieten nicht vergessen die tausenden idioten tragen auch nicht grad fördernd bei
train;0;22 sie würde einige leute kennen die vom tragen der maske krank geworden sind  und dann zum krönenden abschluss das schlimme an der pandemie ist ja gar nicht der virus  das war covid19 egoismus at its best
train;0;22 werden auch geimpfte das virus weiter verbreiten sicherlich reduziert aber ich bleibe hier bei meiner grundeinschätzung bei jeder einzelnen infektion kann es zu einer sehr üblen mutation kommen daher zerocovid gerade jetzt
train;0;"22

merke für querdenker ist es ein beweis für den rechtstaat wenn gerichte urteile in ihrem sinne fällen 
in allen anderen fällen ist es für sie der beweis einer diktatur

und leute wie reitschuster befeuern diese denke"
train;0;"22

untersucht alle wurden nach longcovidsymptomen befragt kopfschmerzen müdigkeit antriebs und schlaflosigkeit etc

ergebnis kein signifikanter unterschied in den antworten der schüler egal ob sie erkrankt waren oder nicht"
train;0;"22

untersucht alle wurden nach longcovidsymptomen befragt kopfschmerzen müdigkeit antriebs und schlaflosigkeit etc

ergebnis kein signifikanter unterschied in den antworten der schüler egal ob sie erkrankt waren oder nicht"
test;0;"22
kundgebung bekannter reichsbürger abseits der qddemo und fragwürdigerweise innerhalb siehe bild der bannmeile besser kann der spiegel hier gar nicht die damals falsche berichterstattung zum reichstagssturm belegen"
val;0;"22
privatisieren mit dieser umverteilung haben konservative und wirtschaftsliberale kein problem aber wehe der kleine mann soll auch nur ein wenig entlastet werden dann sehen sie den untergang des abendlandes gekommen"
train;0;23 dazu gehört d bewahrung d jüdischen identität des staates israel u der schutz seiner grenzen vor terroristen ich habe als präs d  bfv i engstem vertrauen mit unseren freunden in israel zusammengearbeitet ich bin dafür die zusammenarbeit weiter zu intensivieren
test;0;235 sind immer noch eine erschreckende und viel zu hohe zahl aber zum glück hat sich die mehrheit für demokratie entschieden
train;0;25  aber keinen versuch mehr unternommen die nominierung zu verhindern sehr deutlich und sicher nicht unabgesprochen der kommentar von  die in einem laschetkanzleramts für integration zuständig sein könnte
train;1;25 rechte idioten von 60000 einwohnern
train;0;"25k weihanchtsgeld inkl nicht näher definierter erfolgsbeteiligung  15k steuerfreie prämie
schon heftig baerbock nebeneinkuenfte"
train;0;"27 sind aber schon mal nicht 81

und da gibt es eh noch grau zonen wie das ist wenn islamisten einen deutschen pass schon haben wie das dann zählt

das wäre ja auch eine rechte straftat gewesen hätten die den nicht erwischt
gab viele ähnliche fälle"
train;0;29052021 225341 1 freier impftermin für astrazeneca mit abstand zur 2 impfung von 28 tagen in 14089 berlin wählbare tage 020621 hier buchen  impfung covid19 corona vaccine impfenrettetleben
test;0;3  jetzt werden von den mainstremmedien schon wieder psych op agitprop bildervideos mit kollabierten menschen gezeigtamp  es wird wieder völlig unkritisch verbreitet amp  für bare münze genommen als ob wir jetzt nicht schon seit über einem jahr erfahrung mit covid19 hätten
train;0;3 aber auch das gespräch von  und   in der  wenn ich mich von der politik ungerecht behandelt fühle gibt mir das noch lange nicht das recht politik medien und wissenschaftler ungerecht zu behandeln das hat querdenkerniveau
test;0;3 ausserdem riskieren wir kurz vor impfung noch viele tote bei der gruppe der risikoträger ohne impfung und mutationen die den impferfolg gefährden das will keiner allesdichtmachen künstler auch nicht daher jetzt kein hass davon haben wir genug ich weiss wovon ich rede
train;0;3 da aber schwierigere mutationen wahrscheinlich sind schützt am besten vorhandener breiter impfschutz in bevölkerung weil selbst bei infektion nach impfung mit mutante superspreading unwahrscheinlich ist breiten sich in ländern mit vielen geimpften die mutationen nicht aus
train;0;3 das werden die impfschäden sein die wir in wenigen monaten amp  jahren zusehen bekommen prof dolores cahill  zytokinsturm  kleiner vorgeschmack aus vergangenen versuchen jetzt ist der mensch das versuchstier
train;0;3 es geht nur um eines dich zu vera amp  dir zu zuggerieren das ist ja alles so schrecklich
train;0;3 geimpfte sind sehr selten ansteckend man muss wahrscheinlichkeiten multiplizieren eigener schätzwert 90 senkung des anteckungsrisikos zumindest nach 2 impfung sollte man sie genau wie an dem tag mit antigentest getestete behandeln
train;0;3 gründe warum wir israel unterstützen sollten  via
train;0;3 hier der link zur studie im lancet
train;0;3 im angesicht unbeschreiblicher menschlicher katastrophen in indien und südamerika kann patentschutz nicht heilig sein bisher versagte eu darin eigene bürger früh zu impfen vorschlag patentschutz fällt wenn lizenzproduktion oder kostenloser export nicht sichergestellt sind
train;0;3 modellierungen zeigen in uk daher neue wellen im herbst die nur durch eine sehr hohe impfquote gt 85 verhinderbar sind für uns wenn indische variante so viel ansteckender setzt sie sich auch bei uns durch so wird auch bei uns der herbst von der impfquote abhängen
train;0;3 wenn dir die dame nicht zu sagt such dir andere quellen nicht die einzige die vor dem dreck warnt  pei ema amp  gov uk da findeste genug infos zu dem dreck  wenn dir die quellen besser gefallen des weiteren würd ich mich mal fragen wieso doch mal kochsalzlösung verimpft wird
val;0;3 wir müssen unseren impferfolg schützen gegen diese mutationen stichproben sequenzierung ein muss dort wo mutationen auffallen besonders umfassende quarantäne und testregeln jeder ausbruch muss kontrolliert werden am wichtigsten nicht gleich bei inzidenz 100 öffnen weil
val;0;3 wissenschaft und die kooperation  von wissenschaft und politik bringen uns durch die krise ohne gute vorbeugende politik wäre die impfung zu spät gekommen im klimawandel gilt das gleiche ohne senkung der co2 emissionen jetzt kommt die grüne wasserstoffwirtschaft zu spät
test;0;31 palästinensische kinder sind tot mütter sind gestorben hunderte wurden verletzt es droht ein neuer krieg sanktionen haben geholfen die apartheid in südafrika zu beenden es ist zeit für sanktionen gegen israel um palästina freiheit zu bringen
train;0;31052021 073756 10 freie impftermine für astrazeneca in mvz pneumocare wählbare tage 040621 hier buchen  impfung covid19 corona vaccine impfenrettetleben
train;0;31052021 223622 2 freie impftermine für biontech mit abstand zur 2 impfung von 40 tagen in 12435 berlin wählbare tage 090621 120621 hier buchen  impfung covid19 corona vaccine impfenrettetleben
train;0;33  meine kritiker b d gruenen  fridaysforfurture   u im öffentlichrechtlichen fernsehen fordere ich auf sich so klar zum recht israels auf selbstverteidigung zu bekennen wie ich es tue dazu gehört insbes d scharfe abgrenzung von d antisemitischen bdsbewegung
val;0;33 ich fordere die grünen auf einen unvereinbarkeitsbeschluss der mitgliedschaft mit der unterstützung für die antisemitische bdsbewegung zu verabschieden wer die antisemitische bdsbewegung unterstützt gehört nicht in eine demokratische partei
train;0;"33
einige teilnehmende folgten den anweisungen und verließen den ehemaligen versammlungsort ca 8001200 personen blieben vor ort es kam zu angriffen auf einsatzkräfte und entsprechende festnahmen
neukölln
b1505"
test;0;34  sprachfärbungen von einer druckerei in mecklenburg der uhrenmanufaktur in der schweiz von geheimgesellschaften künstlerkreisen nazis  widerständlern großbürgern hells angels feigheit mut krieg vertreibung geheimnissen und neubeginn und immer ist da
val;0;35  22  6 ist 63 in der demokratie nennt man das mehrheit
train;0;35 millionen tote durch eine pandemie in einem runden jahr ist so wenig wie nie wow und ansonsten ist alles glück das nächste monsterbeben kommt noch
train;0;35 überhaupt ist das entsetzen im liberalen flügel der cdu groß hier zb parteiaustritt von  ehemaliger fraktionsvorsitzenden in berlin
train;0;"3807
oder summieren modus impfstoffvirus coronavirus pandemie infektionpolitische entscheidungen im modus es tut mir leid aberso sind die dinge im bundesregierung regierung staat"
val;0;"3807
oderaus impfstoffvirus coronavirus pandemie infektion im genre modus globalmacht im betreff virus coronavirus pandemie infektion mit genre bundesregierung regierung staat im modus höflichkeitcourtesy im betreff virus coronavirus pandemie infektion  oder"
val;0;4 das ist ja genügend sichtbar an den zahlen wenn merkel so weitermacht wird die cducsu bei ca 20 hängen bleiben und das ist zu wenig
val;0;4 die massnahmen die wir jetzt beschlossen haben werden zusammen mit dem impferfolg die lage bald deutlich verbessern weniger hätten wir nicht beschliessen dürfen dafür brauchen wir das vertrauen und die geduld der bürger häme spott und besserwisserei helfen nicht weiter
train;0;"4 ein paar aktionen im format von noallesdichtmachen plus ein paar aktionen um verschiebungen innerhalb des rechten lagers zu bewirken und auf ein bisschen saugkraft und zugewinne hoffen 
das kriegt man über die begleitung auf social media und ein paar trollen schon hin"
test;0;4 ich warte nur noch darauf  dass kritiker d coronasystems eingesperrt werden die familien sind gespalten freunde haben sich v freunden getrennt  d kritischer nachdenken werden beschimpft als aluhüte nazis querdenker u schwurbler wir führen ein entmenschlichtes leben
train;0;"400 millionen menschen setzen gegen nazis

mit kaspersky   sicherheitssoftware

russland"
test;0;429 durch die impfung alle impfungen der letzten 21 jahre 456 denk mal nach das pei u ema hilft gerne u beleg mal die 89t mit einer autopsie
train;0;45  aber auch bei konservativen macht man sich sorgen was wenn afd im wahlkreis eigenen kandidaten nur pro forma laufen lässt und eine woche vor der btw aufruft für maaßen zu stimmen das wäre die neuauflage des aus afdsicht erfolgreichen kemmerichmanövers
train;0;"46 vernunftirrationalität

voraussetzung ist die annahme des vernunftbegriffs der antisemitismus ist die irrationale folge davon durch die vernunft starb die traditionelle ordnung gottes alles wurde berechenbar die entzauberung der welt begann weber mythen starben"
train;0;5 fehler in einem satz respekt ich habe die verhältnismäßig der berichterstattung angeprangert  verstehst du das ich habe dir den spiegel vorgehalten du nennst mich vollidiot weil du mir geistig nicht folgen kannst wer ist denn da nun der vollidiot
train;0;5 polizisten und ein wehrloser rollstuhlfahrer die hände auf den rücken gefesselt so tief ist deutschland gesunken bei aktivisten die höflichkeit und waltetende rücksichtnahme  bei clans wird nur zugesehen  die linken grünen würden das als polizeigewalt bezeichnen und klagen
train;1;53  der lächerlichste schauspieler entsprechen prozentual wohl halbwegs dem gesamtgesellschaftlichen prozentsatz an querschisten leerdenkern und coronazis
train;0;53 schauspielern ist das egal sie wünschen sich mehr pandemieverharmlosung von wissenschaftlern und medien
train;0;55 person maaßen wird differenzierter gesehen innenpolitiker der  kennen ihn gut seine kritik an merkels flüchtlingspolitik war 2015 in sicherheitsdiensten keine minderheitenposition sondern konsens vgl die getriebenen man hofft ihn als mdb einbinden zu können
