split;label;text
train;0;15 millionen und der gegenüber dann sagt kann man da am preis noch was machen dann antwortet baumann ja 9 millionen verteilt auf 3 jahre
val;0;15 nicks
train;0;16 tore in der spanischen liga das ist schon was ganz anderes als 14 in der niederländischen oder 20 in der österreichischen liga bueno wäre soweit ich das sehe ein super transfer allerdings gibt es natürlich auch starke konkurrenz fänd ich klasse wenn eichin den zu uns lotsen kann
train;0;17 in der zweiten liga der sport chef hat da aber eine ganz tolle mannschaft zusammengekauft
train;1;1700 uhr allahu akbar
train;0;18 jährige ostdeutsche ans bein gepinkeltist das sachbeschädigung
train;0;1860 am ende wir werden absteigen kein geld kein fussball fans bleibt zu hause jeder euro ist rausgeschmissenes geld für diese idioten
train;0;1899 x hipp hipp hurra
train;0;196869 ist bei ihnen  vor ca 100 jahren also leidet auch zusätzlich ihr mathematisches verständnis auch während der hongkonggrippe 6869 waren weltweit geschätzte 2 millionen tote zu beklagen auch heute könnte ein mutiertes grippevirus einen gleichen effekt haben soll dann wirklich alle jahre während einer grippewelle die wirtschaft heruntergefahren und schulen geschlossen werden
train;0;1980 war kein lkw 1972 war ein attentat durch muslime
train;0;2 gesunde menschen  abgesehen davon dass nicht die gesundheit relevant ist sondern das infiziertsein den meisten fehlen die hellseherischen fähigkeiten zu erkennen ob eine der beiden menschen virusträger sind oder nicht im übrigen outen sie scih mit ihrer meinung zu den flüchtlingen endgültig als rechtsblinker einen weiteren kommentar dazu verkneife ich mir lieber
train;0;2 kommentare geschrieben und keiner freigegeben obwohl kritisch zu den reichsbürgern geäußert bissl sensibel bei dem thema
train;0;2 miserable kandidaten kaum wähler die nicht die diese wahl als die wahl des geringeren übels ansehen schade dass wir es nicht geschafft haben aus über 300 millionen bürgern 2 bessere alternativen zu nominieren
train;0;2 siege ist schon eine serie die jetzt ausgebaut wurde
val;0;2 tage ist das der termin wo der abstieg sicher ist von 1899 giaaaasing münchen
train;0;2 top tickets  business seats  fc bayern münchen  fc barcelona ohne catering  eur 333300  hab ich lachen müssen über den preis   nach dem spiel in barcelona 7  1 für barca gibt es die tickets für an 10er oder 20 er und mit a bissl glück für an 7er
train;0;2 weitere booster könnten es bei mir schon werden was mich aber weder nervt oder mir sorgen bereitet
val;0;20 kommentare ohne zusammenhang du bist krank
train;0;20 mio sind für juno maximal in einem virtuellen bundesligamanagerspiel zu erzielen
train;0;20000 muuuuuuuuuuuuhaaaaaaaaaaaahaaaaaaaaaaaa
test;0;2011 war die deadline bereits abgelaufen und jetzt haben wir 2018 wieviel milliarden haben wir nochmal nach griechenland gepumpt und jetzt müssen wir uns von denen so verarschen lassen
train;0;2013  revival heute abend
train;0;2013 wenn merkel weg ist dann gehts wieder aufwärts
train;0;2018 das war so nicht absehbar wir haben aus unserer überzeugung heraus so gehandelt wir stehen jetzt zwar vor einem scherbenhaufen aber das ist eine gute chance für die zukunft kein verantwortlicher hatte eine alternative niemand konnte damit rechnen daß die krise in südeuropa unsere  goldreserven aubraucht auch wenn der uro jetzt nicht mehr existiert wir bekommen jetzt ja den worldy
train;0;21156 illegale das ist nur die spitze des eisberges  mehrere zehntausende roma leben oder besser hausen schätzungsweise in berlin teilweise in hausfluren und parks  in dortmund und duisburg gibt es ähnliche probleme
val;1;22 du knecht
train;1;225ihre dyskalkulie ist ja hinlänglich bekannt
train;0;24000 2018 und das in einer saison und diese dauert ca 4 monate
test;0;25000 sind viel zu wenig soldat um den sinai zu durchkämmen
train;1;27 kommentare und die hälfte davon von den beiden deppen aus regensburg und dem superwitzigen blauen der einen auf enrico macht glückwunsch tz so verkommt das forum zu einer spamhalde warum solche pfosten nicht gesperrt werden ist echt nicht erklärbar
train;0;277 x 1000
val;0;279 mtl miete  47 qm  594 mtl pro qm  mit oder ohne nebenkosten  279 mtl miete  425 regelsatz im sgb xii  704 max sozialleistungen im sgb bei einer rente von 1110 besteht somit kein anspruch auf sozialleistungen selbst mit nk da noch ein freies einkommen von 406 vorliegt somit auch noch platz für eine reguläre mieterhöhung an den mietspiegel bzw wegen renovierung nicht zu verwechseln
train;0;3  punkte gegen hoffenheim sind jetzt pflicht das wird ein riesen spiel
val;0;3 beiträge 3 beleidigungen sonst nix super
train;0;3 jahre stadionverbot steht doch im artikel  gscheidhaferl
train;0;3 liga ist doch auch schön
train;0;3 mal verlierer hinter den frauen verstecken klasse
train;0;3 punkte gegen total unmotiviert  lustlos auftretende mainzer 3 punkte gegen wolfsburg aus reiner glückssache 3 punkte gegen darmstadt  gegen ein lowbudgetteam   mit blamablem auftritt  9 punkte auf dem konto  aber spielerisch nichts  null komma null  gezeigt  dann warten wir mal ab wie so ein werder gegen rb leipzig dortmund hoffenheim aussieht  das wird klasse
train;0;3 stück für 1  wo ist denn dieser billige jakob
train;0;3 x ist bremer schlecht äh recht
train;0;3000 touries plus 1353 besatzungsmitglieder auf der fläche eines schiffes sind mir einfach zuviel  und die freiheit ist eingeschränkt zumindest sehe ich das so zig zehntausende oder gar millionen menschen sehen das anders  zumindest hab ich mir so ein schwimmendes gefängnis schon mal angesehen
train;0;352 bitte nicht dafür braucht man ein bayern oder dortmund mittelfeld aber power bzw action frank steht im ständigen austausch mit viktor es passt kein blatt zwischen die beide gut zu hören weiter so
train;0;36 der 49jährige raser 37 der spaziergänger der eine 39jährige garmischpartenkirchenerin zu boden riss und unsittlich anfasste
train;0;3sblautief
train;0;4  3 gegen einen 5 ligisten aus lippstadt  stark
test;0;4 benutzer haben das empfohlen  dass hier ein schwachkopf wie einer von der nsu schreibt ist das eine 4 benutzer die das empfehlen ist das andere tja typisch tz hier wundert einen gar nichts mehr
train;1;4 generation inzucht  hallo f mauritz
train;0;4 grammatikfehler  jemand wer ist vielleicht schweinesprache aber nicht deutsch ausserdem gibt es jetzt auch tastaturen mit kommataste stichwort relativsatz
train;0;4 in einem aktienkurs ist ein ziemlich großer sprung nach oben  13 prozentpunkte sind da weniger bedeutsam
train;0;4 warum bezieht sich herr einzeller nicht auf den artikel mit seinem kommentar
train;0;40 dunkle kerkerjahr ins nasskalte rattenloch  dann seh ma weiter
train;0;400  gegen totengräberfan hammoudi_der_alte
train;0;40639 herr ramon x aus villingenschwenningen geleakt am 25092016 200937 uhr  testsieger  die perfekte lösung zum geld verdienen via software   dank  hat herr  ramon x  aus  villingenschwenningen  soeben  290   innerhalb weniger minuten eingenommen   anmerkung  überzeuge dich anhand dem video und den kundenrezensionen auf oben genannter webseite  id 40639  herr ramon x aus villingenschwenningen
train;0;4erkette wäre gar nicht soooo schlecht dann könnte man nämlich mit offensiven außen im mf spielen gnabry kainz batels dazu könnte man  wie hier oft gefordert wird  johannsson seine letzte chance neben kruse geben also  selassie  veljkovic  sané  bauer bartels kainz  juno  delaney  gnabry  aj batels  kruse
train;0;4mio hätte sich werder auch leisten können kuba hat eine tolle einstellung hat mir bei der euro im polnischen team am besten gefallen hätte uns gut zu gesicht gestanden ebenfalls ein subotic der noch genug biss hat und es tuchel zeigen will dass es ein fehler istwar  nicht mehr auf ihn zu setzen aber werder holt spieler die vom sc freiburg als bundesligauntauglich aussortiert wurdenvon moisander halte ich auch nix auch nicht besser als gálvez
train;0;5 bananen 8 pyramiden martinez wurde opfer von rafiniha und desshalb sind die ecken schlecht ja meine frau kommt zu spät in die arbeit wegen des bahnstreiks und desshalb schmeckt beim brückenwirt der schweinsbraten nicht etwa die selbe logik
train;0;5 mio sind auf jeden fall defacto ein schwerer rucksack und sollte eine festgeschriebene ablöse vereinbart worden sein darf die nur 15 mio höher sein alles andere wäre albern
train;0;5 mio soll wohl schalke als ablöse berappen
train;0;5 spiele hast du gesehen wir haben fans die haben seit 25 jahren kein spiel versäumt egal wo und wann und du grad du nennst diese fans heuchler du bist die allerletzte pfeiffe und host null anstand in der arena oder im oly warst du zu 100 noch nie
train;0;50 milliarden im jahr und 700tsd straftaten sind bei gut kein nachteildie ganzen toten und vergew frauen sind kein problem
test;0;50000000 zusätzliche köpfe allein in afrika da können sie die wenige köpfe ganz nach dem gusto der linken auch erschiessen  auch wenn wir das eine prozent reiche erschossen haben bundesstrategietag die linke im märz 2020 und es wird bei diesem zuwachs nicht viel bewirken
train;0;5050
train;1;6 uhr wecken  19 uhr wegsperren ja da lebt man wie ein könig  zuchthauskönig
train;0;60 die dauer  lachnummer des   deutschen fußballs
train;0;60er penner
val;0;61 rechnet richtig  minus und minus und kein stadion ergibt  will keiner mehr wissen  hahahahaa
train;0;650  monatsmiete für die halle bei geschätzten 4 trainingseinheiten die woche macht das 20  pro trainingseinheit 10 std darin enthalten sind wasser strom und vermutlich auch lagerräume was wohl passieren würde wenn ein anderer verein oder eine selbsthilfegruppe gerne diese hallenzeiten hätte und dem ob 10  die stunde anbietet
train;0;7 jahre so alt war dieses kind als es dieser m genommen hat
test;0;7 taliban haben nicht so langweilige krawatten
train;1;72 jungfrauen und nichts mehr zwischen den beinen blöd gelaufen
train;0;7734
train;0;8 wochen eiserne vorbereitung stecken in den knochen skrippi hat sie gefordert man hat bei den spieler echte schweißperlen gesehen
train;0;80 der flüchtlinge sind junge kräftig gebaute alleinstehende männer  chefredakteur ardaktuell  somit kamen im vergangenen jahr etwa 800 000  mehr sage ich nicht jeder kann selbst denken
train;0;80 haben wenn überhaupt nur leichte bis mittlere erkältungsbeschwerden  bedingt durch häufige reisen durfte ich giardiasis dengue und oropouchefieber kennenlernen habe alles gut überstanden und bin generell ein wenig ängstlicher zeitgenosse  das leben ist halt lebensgefährlich vom ersten atemzug an
train;0;800 augenverletzungen bringen die krankenhäuser deutschlandweit  in bedrängnis an silvester  hahahah
train;1;800 hut ab kloahäuslerverein
train;0;80000 gelangweilte leute das hat nichts mit interesse zu tun und er heißt manuel und nicht manuela
train;0;82 jahresauber
train;0;837
train;0;9 jahre sind da schon alt es geht auch jünger
train;0;9 tage noch  und der rest von heut
val;0;9 von 10 leuten finden mobbing gut
train;0;90 der hier lebenden muslime sind integriert leben hier friedlich und unauffällig dagegen ist jeder 4 deutsche fremdenfeindlich wenn man selber so vorurteilsbeladen ist wie sie kann man die dinge wohl nicht objektiv beurteilen man muss die integrationserfolge und bemühungen auch wahrnehmen  wollen
val;0;918 der trojaner von bild
train;1;999  dieser sachen gehn trotzdem vom islam aus
train;0;a  d  i  o  s    z  w  e  i  t  e    l  i  g  a    t  o  u  r  t s v    m ü n c h e n    v o n    1 8 5 9  1  w i l l k o m m e n    i n    l i g a 3
val;0;a 28 gelöschte beiträge von 102 geschriebenen beiträgen ist nicht 90  sondern 27   b auch und speziell die gelöschten beiträge erzielen ihre wirkung indem sie stören  verletzen
train;0;a bayern nasch halt
train;0;a bissal ich wünscht es wäre ned so aber  diese riesigen schäden sorry wie soll das gehen
train;1;a bissl a dreck hod no koan gschod verzongne preißn
train;0;a bissl frotzeln geht immer  heute abend tippe ich übrigens wieder auf einen sieg hat euch schon letzte woche glück gebracht auch wenn ich nix gewonnen habe da auf ergebnis getippt
train;0;a datadsqmentiondisqus_063jopplzsdisqus href ist auch nur ein gast  zumindest auf diesem planeten
train;1;a dummerle am computer oder was hat der adac sonst damit zu tun
train;0;a echts münchner kindl halt
train;0;a ein bier oder b eine seuche oder c die krone eines mp
train;0;a ganz trauriger offensichtlich
train;0;a geh gema a bissal im glockenbachs entspannen schatzi
train;1;a gute nachricht  wenigstens ein bastard weniger nur gibts leider noch so viele von den irren
train;0;à propos hunde wieso gibt es eigentlich keine schleppleinen oder hundebetten von werder zu kaufen große marktlücke
train;1;a saubere watschn hat noch keinem geschadet ausser mustafa der hat nun ein trauma
train;0;a so a gschau sieggt ma a ned olle dog
train;0;a so a schmarrn den du schreibst gehst zum lachen im keller natürlich ist man mit krücken auf hilfe angewiesen genauso wie sein kind weil es kleinkind ist also hatte die mama seines kindes zwei menschen zu helfen zwei kindern a gaudi redn hod nix mit mangelnder intelligenz zum doa pfiad di spaßbremse
train;0;a so a schnoin
train;1;a steht übrigens für aloch
train;0;a stinknormale tuja wird in grünwald zur nobel hecke
train;1;a zuagroaßda war vor 4 jahren in niedersachsen bereits erfolglos  nozdelokalespapenburgartikel318292lachelndtrittchristianoberthurgegendiecduan
train;0;a1 gen osten und dann abfahrt volkspark gib das mal in das navi ein
train;0;a3 der rassist sind sie reden sie mal mit menschen mit migrationshintergrund einfach nur dumm ihre behauptung man merkt das sie noch nie kontakt mit migranten hatten
train;0;aa
train;0;aaaaaaaaaaaaaaaaangst
train;0;ääääh  nö
train;1;aalglatter managerangeber oder auf gut niederbayrisch a laare hosn der fisch stinkt vom kopf
train;0;ab 100 ist der rot kommt von  der himmel über bayern
train;0;ab 65 alle 5 jahre fahr und kenntnisprüfung so wie es in vielen anderen ländern usus ist dem mädchen wünsche ich eine gute genesung
train;1;ab dem alter von 6  8 jahren sind diese kinder von der islamischen religion schon so verdorben  daß sie für alle pflegeeltern ein risiko darstellen jugendliche afghanische pflegekinder ab 17  18 jahren halte ich persönlich für unberechenbar
train;0;ab der 10 klasse oberstufe bleibt dann nur noch das abitur aus erfahrung weiß ich auch dass nach erreichen der 10klasse in der gesamtschule ein wechsel auf ein reines gymnasium kaum noch möglich ist weil der wissensvorsprung des gymnasiasten mehr als ein jahr beträgt und nur noch mit teurer nachhilfe aufzuholen ist dieser sachverhalt wurde mir von vielen lehrern die an einer gesamtschule unterrichten iw bestätigt
train;0;ab in den stall zum füttern
train;1;ab in die homohölle fieser kotstecher
train;1;ab ins betreute wohnen
train;1;ab jetzt mit dem schwerstkriminellen
val;1;ab nach hause mit solchem pack ich befürchte dass es zu vielen weiteren belästigungen von frauen von solchen typen kommen wird da für die frauen nichts zählen
train;1;ab wann unaufgeklärte mordfälle nicht mehr aktuell sind entscheiden sicher nicht nsufanbois
train;1;ab zurück ins heim
train;0;abe robins und alexej shnaider sollten nicht immer von sich auf andere schließen
train;0;abend is oaner vom mopedstammtisch dohob hausarest hob die bergsteiger ausm keller raufbuchsiert steht scho auf da bühne motor heraustund probleme mim 625er
train;1;aber  das  ist  doch  völlig  klar  oder sie  und  ich und  etliche  andere haben  das geld  dafür  ganz  einfach nicht  aber  was sollte  das söderlein  und co jucken  die  bekommen  egal  ob  sie  arbeiten  oder  nicht  zigtausend  euro  im monat  da könnte  ich  mir  natürlich  auch  luxus masken  kaufen
train;0;aber  dumpdahol  du bist schon der doc hm bälly gehts gut
train;0;aber aber  das ist doch nichts neues mein schwuler freund benutzt diesen witzigen namen seit beginn der saison der arme wollte bloß seine 6ule neigungen noch mehr deutlichkeit verschaffen ist das so schlimm
val;1;aber als erstes will bayern euer geldund wenn ihr dann bankrott seid kann der retter aus dem morgenland an ein eigenes stadion denken
train;0;aber anscheinend ned im kopf
train;0;aber auch die gehen ihm anscheinend so langsam aus er muss jetzt schon immer unter fremden nicks posten
test;0;aber auch nur in kabul 20 kilometer von kabul entfernt konnte man tiefstes archaisches mittelalter erleben  diesen menschen war das treiben in kabul nicht geheuer und sie waren und sind unterstützer der taliban
train;0;aber bis drei kann ich schon zählen  wie heissen die antworten auf die beiden anderen fragen oder sind die genauso blödsinnig in erwartung der nächsten frechheit anstelle von argumenten
train;0;aber bitte nicht auch ins karthaus  eher auf die intellektuellenschule
train;0;aber bitte nicht zu weich spülen typen wie yatabare können wir gut gebrauchen und man sollte sie auch nicht zu sehr bremsen im zweifel müssen sie dann eben mal ein oder zwei spiele von der tribüne schauen aber auf keinen fall dürfen dieser kampfgeist und diese zweikampffreude verloren gehen einer wie yatabere kann am ende den unterschied machen weil er sich eben nicht duckt und sich versteckt sondern gegenan geht und fightet
train;0;aber da können sich fledermäuse dranhängen
train;0;aber dafür holt sich leipzig den gnabry im tausch von selke wenn man der leipziger gerüchtegerüche ein wenig folgt
train;0;aber das ist doch auch washeld der straße
train;1;aber das ruhrgebiet als strukturschwach bezeichnen bei uns gibt es wenigstens mehr stammstrecken als in in diesem komischen dorf in bayern
train;0;aber dass der dilettantenverein werder bremen in der saison 1617 direkt in die 2 liga absteigen wird das ist erlaubt zu sagen oder
train;0;aber defabc7 ist echt ungerecht ich hab dir doch damals als dein pfleger bei der flucht geholfen naja war wohl ein fehler
train;0;aber den 520 der 550 gegendemonstranten die damit nichts zu tun hatten unterstellen sie dieses verhalten auch  und das ist ein unrecht viele davon halten einfach nur schilder hoch und rufen ab und an kein recht auf nazipropaganda  und das wars auch schon  man differenziert nicht um tatsachen auszublenden sondern weil man einsieht dass von 550 leuten nicht alle gleich sind und bei den demonstranten ist nicht anders
val;0;aber der mann hat recht mit dem was er sagt
train;0;aber der mannschaft
train;0;aber des einfachen arbeiters witzende
train;0;aber die bude ist voll
train;0;aber die frage ist schon berechtigt warum ausgerechnet deutschland sich dabei vorne anstellen muss und woher dieses bedürfnis des auftrumpfens  gegenüber israel stammt warum ist keine zeit mit diplomatie zu verschwenden  jan fleischhauer hat in spon dazu eine wie ich finde bedenkenswerte kolumne verfasst
train;0;aber die integration von migrantenkindern wird das sicher weiter erschweren bis verhindern diesmal sogar mit staatlicher förderung was soll daran gut sein
train;0;aber die kirche stand schon oder stand auch im artikel
train;0;aber die nato schützt uns doch vor dem bösen putin
train;0;aber die schlimme einsteĺlung vieler jugendlicher daß der staat die pflicht hat niemanden verhungern zu lassen schließlich lebt man ja in einem sozialstaat
val;0;aber die stundung der 18 millionen passt dir schon
test;1;aber diese vollpfosten werden halt zu gut geschützt da ist kein drankommen möglich
train;0;aber du auch nicht   mmmmmuuuaaaahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
test;0;aber eben nicht unverhältnismäßig und nicht mit antisemitischen hintergrund einige israelkritiker hier verstecken bloss judenhass hinter der israelkritik
test;0;aber ein led zeppelin konzert
train;0;aber ein solcher name sei den behörden unbekannt er sei ausländerrechtlich nicht registriert unvorstellbar dass er als freier mann den gerichtssaal verlassen darf eigentlich sollte der flieger in den iran schon auf ihn warten
val;0;aber ein zugeparktes frankfurt und regelmäßig stau finden sie natürlich toll
train;0;aber eines können sie bestens  über trump kleinstes vergehen hetzen primitive individuum
train;0;aber er hat die haare schon er hat die haare schön
train;0;aber er sitzt immer weisungsgemäß  in der ersten reihe verpasst keine vorstellung
train;0;aber es gibt doch jede menge zu schreiben so ungefähr jeder dritte spieler der geradeauslaufen kann und die grundregeln vom fußballspiel kennt könnte doch zum fcb wollen  na wenn das nicht grund genug ist jedem noch so unwahrscheinlichen kandidaten seinen eigenen artikel zu widmen  wie kommst du drauf dass man nur die sinnvollen und interessanten news verbreiten müsste das wäre ja ja das wäre ja fast wirklich guter journalismus
train;1;aber für dich wären 2 jahre sonderschule drin wären auch noch steuerlich absetzbar
train;1;aber für flüchtilanten ist geld da für schulen nicht
train;0;aber halt nur an dieser stelle
train;0;aber hansjoachim die demokratie verkraftet doch auch dich und da du es gerade erwähnst wie viele todesopfer gehen denn auf das konto dieser terroristen
train;0;aber hier darf man ungestraft gegen trump und die afd hetzen
train;0;aber holla 876 786 strafzettel bekamen münchens autofahrer fürs falsche parken ist ja unglaublich wie schlecht münchens autofahrer parken wo waren die denn auf der fahrschule die schilder sind doch eindeutig  aber anscheinend doch für viel doch zu kompliziert
train;0;aber i gfrei mi dass a münchner derby jetz wieder realistischer wird    des große natürlich
train;1;aber ich darf sie ebenso wie du kundtun oder bist du hier der blockwart
train;0;aber im ernst ist das rassistisch  es ist ein zigeunerschnitzel pusztaschnitzel paprikaschnitzel  was zur hölle hat das mit rassismus zu tun das wort zigeuner  nicht jede nutzung eines wortes ist immer rassistisch  aber da gibt es eben unterschiedliche sichtweisen für mich geburtsjahr ende der 60er ist ein mohrenkopf und sogar ein negerkuss ein zigeunerschnitzel nicht rassistisch
train;0;aber ins bett würd ich mit der lena lieber
train;0;aber kein vergleich was derzeit in österreich abläuft    am besten dann alle maßnahmen gleich beenden und die pandemie dem zufall überlassen
train;0;aber keine museln
train;0;aber keine rote karte hier war er disziplinierter kam zwar als rotbelasteter zu uns das wurde ihm hier ganz schnell abgewöhnt was mich eigentlich aufregt zuerst haben alle vor stolz gestrahlt  jetzt hat er halt rot gesehen und der mannschaft geschadet im letzten spiel hat er der mannschaft genutzt
train;0;aber komplett
train;0;aber leider bezahlenund auch noch diese klugkotterei
train;0;aber michl
train;0;aber mit abstand
train;0;aber mit sozialer komponente
val;0;aber natürlich da hatten dir russen ja auch nicht die finger im spiel
train;0;aber ne volle arena und ne menge kohle und erfolg und weltmeister im team und und undund ihr so ach stimmtweder noch
train;0;aber nein du kannst ruhig mit deinem sommerfahrzeug in die winterferien man zu    ich kann fahren meiner ist winterfest rottach egern schliersee ein paar tage skifahren voraussetzung wir haben schnee quarktasche
train;0;aber nein es wird nur selten gemacht  indem sowas böses armes altes einfach ignoriert wird
train;1;aber nein johanndepp arielfour benötigt sie  serviette weiterreich
train;0;aber nein piti das siehst du viel zu verbissen wer bei euch eine andere meinung hat ist ein feind in euren augen da hat der gerald absolut ins schwarze getroffen immer schön sachlich bleiben und versuchen die anderen zu überzeugen statt zu beleidigen wie ist die luft in sachsen trübe aussichten
train;1;aber nestor dies machen doch veganer ständig nicht nur in ffm auch in da oder wi nur mal genauer hinschauen was die veganer so alles auf ihren homepages verbrechen wenn der liebe lange tag sehr lang ausfällt ihr vergleich hinkt wie ein blinder mit krückstock
train;0;aber nicht über fußball lediglich über deine kommentare damit du mehrere nicks hast ist bekannt brauchst also damit hier nicht anzugeben
train;0;aber nicht verstanden
train;0;aber nicht wirklich überraschend
train;1;aber noch viel zu harmlos diesen respektlosen pupertierenden vollpfosten sollte man eine tracht prügel verpassen dass sie 2 wochen nicht mehr sitzen können und danach 12 monate schwere arbeit leisten und danach jedes quartal die nächsten 5 jahre einen bluttest auf alkohol und drogen  und das ganze so lange wiederholen bis der respekt zurückkommt
train;0;aber nur beim pausentee und vielleicht in der kabine auf dem platz sehe ich keine ordnung
train;0;aber nur fast sicher ge  soooo schad dass es keine rechten gwen sind
train;1;aber nur in der kruden buntblödeldenke in der realität weder er noch seine familie wirklich wie man an der hymnenverweigerung der seit jeher katastrophalen sportlichen leistungengagement sowie aktuell nun auch für jeden außerhalb der buntblödelwelt deutlichst und traurigst demonstriert hat die buntblödelverteilung des deutschen passes hat noch nie funktioniert das wird gerade sehr sehr deutlich selbst für die tumberen und daher für buntblödelnarren empfänglichen bürger
test;0;aber nur wenn der betrunkene auch eine strafe bekommt wegen trunkenheit im öffentlichen raum oder wie man das dann eben so nennt
train;0;aber ohne kinder
train;0;aber selbst dann sind die beiden sich wahrscheinlich auch noch sicher dass dies göttlicher wille ist  was soll dieser leise unterton es ist gottes wille
train;0;aber sicher doch träum dich nur schön
train;0;aber sie sieht besser aus als die anderen gespenster und mumien
train;0;aber sie waren mit einem deutschen sprinter unterwegs
train;1;aber sonst gehts noch ein elefant im klinikum großhadern wieviele kranke menschen es wohl in münchen gibt die auf eine untersuchung im ct warten vielleicht werden diese ja künftig in hellabrunn behandelt
train;1;aber spielen wir es doch mal durch wenn es aus russland kommt wäre es eine super spionage und praktion  nach dem motto die nsa hat das handy von angie aber wir haben ihren server deutschland hat sich schön blamiert eine wirtschaftsmacht jaein super spendabler geld und gastgeber jawohlaber ein global playerhusch husch ins körbchen und üben mit der zweiten geige angie
test;1;aber stellt euch nur mal vor was bei unseren dunkelbeigen brüdern und schwestern hier los wär mehr als ein innerer reichsparteitag
train;1;aber uli baier kann man doch die schuld geben der mann ist nicht mehr bei sinnen von der sorte gibt es noch einige hier in frankfurt
val;0;aber vielleicht den falschen zeitpunkt beim genuss bestimmter substanzen
train;0;aber von seinem pager hat er sich dann doch zig jahre treiben lassen und unzählige kauf und verkauforders versandt dieser verlogene moralapostel euer uli eben
train;0;aber vorher noch viagra
val;1;aber vorher noch zum viehdoktor
train;0;aber vorsicht gestern haben die männer gespielt
train;0;aber warum droht er dann über die brasilianische medien das kann man doch alles intern klären
